Time resolution is 1 ps
time =                    0 | arst = 1 | in = 0 | out = 0  
time =                   15 | arst = 0 | in = 1 | out = 0  
time =                   30 | arst = 0 | in = 0 | out = 0  
time =                   80 | arst = 0 | in = 1 | out = 0  
time =                  100 | arst = 0 | in = 0 | out = 0  
time =                  120 | arst = 0 | in = 1 | out = 0  
time =                  130 | arst = 0 | in = 0 | out = 0  
time =                  150 | arst = 0 | in = 1 | out = 0  
time =                  170 | arst = 0 | in = 0 | out = 0  
time =                  180 | arst = 0 | in = 1 | out = 1  
time =                  190 | arst = 0 | in = 1 | out = 0  
time =                  200 | arst = 0 | in = 0 | out = 0  
time =                  210 | arst = 0 | in = 1 | out = 1  
time =                  220 | arst = 0 | in = 0 | out = 0  
time =                  230 | arst = 0 | in = 1 | out = 0  
--- seq 101 NOT DETECTED !! ---
time =                  260 | arst = 0 | in = 0 | out = 0  
time =                  270 | arst = 0 | in = 1 | out = 1  
time =                  280 | arst = 0 | in = 0 | out = 0  
time =                  310 | arst = 0 | in = 1 | out = 0  
time =                  340 | arst = 0 | in = 0 | out = 0  
time =                  350 | arst = 0 | in = 1 | out = 1  
time =                  360 | arst = 0 | in = 1 | out = 0  
time =                  370 | arst = 0 | in = 0 | out = 0  
time =                  390 | arst = 0 | in = 1 | out = 0  
time =                  410 | arst = 0 | in = 0 | out = 0  
time =                  430 | arst = 0 | in = 1 | out = 0  
time =                  460 | arst = 0 | in = 0 | out = 0  
time =                  480 | arst = 0 | in = 1 | out = 0  
time =                  490 | arst = 0 | in = 0 | out = 0  
time =                  500 | arst = 0 | in = 1 | out = 1  
time =                  510 | arst = 0 | in = 0 | out = 0  
time =                  520 | arst = 0 | in = 1 | out = 0  
time =                  560 | arst = 0 | in = 0 | out = 0  
time =                  580 | arst = 0 | in = 1 | out = 0  
time =                  600 | arst = 0 | in = 0 | out = 0  
time =                  640 | arst = 0 | in = 1 | out = 0  
time =                  650 | arst = 0 | in = 0 | out = 0  
time =                  660 | arst = 0 | in = 1 | out = 1  
time =                  670 | arst = 0 | in = 1 | out = 0  
time =                  680 | arst = 0 | in = 0 | out = 0  
time =                  700 | arst = 0 | in = 1 | out = 0  
time =                  720 | arst = 0 | in = 0 | out = 0  
time =                  770 | arst = 0 | in = 1 | out = 0  
time =                  780 | arst = 0 | in = 0 | out = 0  
time =                  820 | arst = 0 | in = 1 | out = 0  
time =                  830 | arst = 0 | in = 0 | out = 0  
time =                  850 | arst = 0 | in = 1 | out = 0  
time =                  870 | arst = 0 | in = 0 | out = 0  
time =                  880 | arst = 0 | in = 1 | out = 1  
time =                  890 | arst = 0 | in = 0 | out = 0  
time =                  910 | arst = 0 | in = 1 | out = 0  
time =                  950 | arst = 0 | in = 0 | out = 0  
time =                  960 | arst = 0 | in = 1 | out = 1  
time =                  970 | arst = 0 | in = 0 | out = 0  
time =                 1000 | arst = 0 | in = 1 | out = 0  
